"","volume","p.metal"
"1",0.103681773298931,2.01
"2",0.205419732753579,2.02
"3",0.305241816707457,2.03
"4",0.403175917825499,2.04
"5",0.499249865719261,2.05
"6",0.593491410362697,2.06
"7",0.685928206283553,2.07
"8",0.776587797514854,2.08
"9",0.865497603290229,2.09
"10",0.952684904466597,2.1
"11",1.03817683065712,2.11
"12",1.12200034805716,2.12
"13",1.20418224794558,2.13
"14",1.28474913584361,2.14
"15",1.36372742131319,2.15
"16",1.44114330837687,2.16
"17",1.5170227865409,2.17
"18",1.59139162240342,2.18
"19",1.66427535182958,2.19
"20",1.73569927267549,2.2
"21",1.8056884380429,2.21
"22",1.87426765004682,2.22
"23",1.94146145407833,2.23
"24",2.00729413354492,2.24
"25",2.07178970507123,2.25
"26",2.13497191414287,2.26
"27",2.19686423117658,2.27
"28",2.25748984800022,2.28
"29",2.31687167472608,2.29
"30",2.37503233700178,2.3
"31",2.4319941736229,2.31
"32",2.48777923449206,2.32
"33",2.54240927890954,2.33
"34",2.59590577418053,2.34
"35",2.64828989452504,2.35
"36",2.69958252027622,2.36
"37",2.74980423735366,2.37
"38",2.79897533699839,2.38
"39",2.84711581575677,2.39
"40",2.89424537570073,2.4
"41",2.94038342487221,2.41
"42",2.98554907794013,2.42
"43",3.02976115705845,2.43
"44",3.07303819291423,2.44
"45",3.11539842595514,2.45
"46",3.15685980778596,2.46
"47",3.19744000272426,2.47
"48",3.23715638950548,2.48
"49",3.27602606312829,2.49
"50",3.31406583683111,2.5
"51",3.35129224419135,2.51
"52",3.38772154133902,2.52
"53",3.42336970927666,2.53
"54",3.45825245629803,2.54
"55",3.49238522049823,2.55
"56",3.52578317236803,2.56
"57",3.55846121746586,2.57
"58",3.59043399916079,2.58
"59",3.62171590144039,2.59
"60",3.65232105177756,2.6
"61",3.68226332405047,2.61
"62",3.71155634151051,2.62
"63",3.74021347979266,2.63
"64",3.76824786996373,2.64
"65",3.79567240160349,2.65
"66",3.82249972591433,2.66
"67",3.8487422588552,2.67
"68",3.87441218429566,2.68
"69",3.89952145718629,2.69
"70",3.92408180674181,2.7
"71",3.94810473963337,2.71
"72",3.97160154318675,2.72
"73",3.99458328858341,2.73
"74",4.01706083406141,2.74
"75",4.03904482811342,2.75
"76",4.06054571267922,2.76
"77",4.08157372633026,2.77
"78",4.10213890744386,2.78
"79",4.12225109736501,2.79
"80",4.14191994355357,2.8
"81",4.16115490271511,2.81
"82",4.1799652439135,2.82
"83",4.19836005166354,2.83
"84",4.21634822900224,2.84
"85",4.23393850053708,2.85
"86",4.25113941547008,2.86
"87",4.26795935059632,2.87
"88",4.28440651327583,2.88
"89",4.30048894437774,2.89
"90",4.31621452119572,2.9
"91",4.33159096033385,2.91
"92",4.34662582056206,2.92
"93",4.36132650564042,2.93
"94",4.37570026711168,2.94
"95",4.38975420706126,2.95
"96",4.40349528084443,2.96
"97",4.41693029977998,2.97
"98",4.43006593381008,2.98
"99",4.44290871412591,2.99
"100",4.45546503575882,3
"101",4.46774116013667,3.01
"102",4.47974321760527,3.02
"103",4.49147720991456,3.03
"104",4.50294901266962,3.04
"105",4.51416437774626,3.05
"106",4.52512893567122,3.06
"107",4.53584819796698,3.07
"108",4.5463275594611,3.08
"109",4.5565723005603,3.09
"110",4.56658758948919,3.1
"111",4.57637848449392,3.11
"112",4.58594993601074,3.12
"113",4.59530678879974,3.13
"114",4.60445378404388,3.14
"115",4.61339556141351,3.15
"116",4.62213666109672,3.16
"117",4.63068152579556,3.17
"118",4.63903450268855,3.18
"119",4.64719984535969,3.19
"120",4.65518171569425,3.2
"121",4.66298418574164,3.21
"122",4.6706112395457,3.22
"123",4.67806677494275,3.23
"124",4.68535460532756,3.24
"125",4.69247846138793,3.25
"126",4.6994419928078,3.26
"127",4.70624876993964,3.27
"128",4.71290228544621,3.28
"129",4.71940595591221,3.29
"130",4.72576312342612,3.3
"131",4.73197705713267,3.31
"132",4.73805095475625,3.32
"133",4.74398794409573,3.33
"134",4.74979108449105,3.34
"135",4.75546336826189,3.35
"136",4.761007722119,3.36
"137",4.76642700854835,3.37
"138",4.77172402716875,3.38
"139",4.77690151606309,3.39
"140",4.7819621530838,3.4
"141",4.78690855713278,3.41
"142",4.79174328941631,3.42
"143",4.79646885467524,3.43
"144",4.80108770239089,3.44
"145",4.80560222796712,3.45
"146",4.81001477388879,3.46
"147",4.81432763085721,3.47
"148",4.81854303890278,3.48
"149",4.8226631884753,3.49
"150",4.82669022151236,3.5
"151",4.83062623248602,3.51
"152",4.83447326942842,3.52
"153",4.83823333493639,3.53
"154",4.84190838715569,3.54
"155",4.84550034074507,3.55
"156",4.84901106782056,3.56
"157",4.85244239888039,3.57
"158",4.85579612371084,3.58
"159",4.85907399227335,3.59
"160",4.86227771557333,3.6
"161",4.86540896651088,3.61
"162",4.86846938071383,3.62
"163",4.87146055735344,3.63
"164",4.87438405994309,3.64
"165",4.87724141712018,3.65
"166",4.88003412341167,3.66
"167",4.88276363998358,3.67
"168",4.88543139537468,3.68
"169",4.88803878621466,3.69
"170",4.89058717792723,3.7
"171",4.89307790541828,3.71
"172",4.89551227374945,3.72
"173",4.89789155879744,3.73
"174",4.9002170078993,3.74
"175",4.9024898404839,3.75
