"","volume","p.metal"
"1",0.0333535946449592,1.73
"2",0.212776754355398,1.74
"3",0.38936336164557,1.75
"4",0.563134448331812,1.76
"5",0.734111849781433,1.77
"6",0.90231816220847,1.78
"7",1.06777670062864,1.79
"8",1.23051145751587,1.8
"9",1.39054706219916,1.81
"10",1.54790874103501,1.82
"11",1.70262227838711,1.83
"12",1.85471397844182,1.84
"13",2.0042106278844,1.85
"14",2.15113945945829,1.86
"15",2.29552811642625,1.87
"16",2.43740461794966,1.88
"17",2.57679732539928,1.89
"18",2.71373490960817,1.9
"19",2.8482463190751,1.91
"20",2.98036074912416,1.92
"21",3.11010761202413,1.93
"22",3.23751650806906,1.94
"23",3.36261719761941,1.95
"24",3.48543957410119,1.96
"25",3.60601363795881,1.97
"26",3.72436947155573,1.98
"27",3.84053721501527,1.99
"28",3.9545470429927,2
"29",4.06642914236828,2.01
"30",4.17621369084971,2.02
"31",4.2839308364715,2.03
"32",4.38961067797731,2.04
"33",4.49328324607102,2.05
"34",4.59497848552081,2.06
"35",4.69472623810029,2.07
"36",4.7925562263498,2.08
"37",4.88849803814034,2.09
"38",4.98258111202246,2.1
"39",5.07483472334156,2.11
"40",5.16528797110099,2.12
"41",5.25396976555392,2.13
"42",5.3409088165048,2.14
"43",5.42613362230088,2.15
"44",5.50967245949436,2.16
"45",5.59155337315557,2.17
"46",5.67180416781744,2.18
"47",5.75045239903173,2.19
"48",5.82752536551758,2.2
"49",5.90305010188267,2.21
"50",5.97705337189797,2.22
"51",6.04956166230676,2.23
"52",6.12060117714905,2.24
"53",6.19019783258272,2.25
"54",6.25837725218284,2.26
"55",6.32516476270107,2.27
"56",6.3905853902672,2.28
"57",6.45466385701524,2.29
"58",6.51742457811689,2.3
"59",6.5788916592054,2.31
"60",6.63908889417321,2.32
"61",6.69803976332742,2.33
"62",6.75576743188694,2.34
"63",6.81229474880616,2.35
"64",6.8676442459099,2.36
"65",6.92183813732508,2.37
"66",6.97489831919481,2.38
"67",7.02684636966101,2.39
"68",7.07770354910208,2.4
"69",7.12749080061256,2.41
"70",7.17622875071205,2.42
"71",7.22393771027119,2.43
"72",7.27063767564263,2.44
"73",7.31634832998563,2.45
"74",7.36108904477312,2.46
"75",7.40487888147035,2.47
"76",7.44773659337495,2.48
"77",7.48968062760817,2.49
"78",7.53072912724787,2.5
"79",7.57089993359379,2.51
"80",7.61021058855619,2.52
"81",7.64867833715942,2.53
"82",7.6863201301519,2.54
"83",7.72315262671476,2.55
"84",7.75919219726145,2.56
"85",7.79445492632109,2.57
"86",7.82895661549843,2.58
"87",7.86271278650383,2.59
"88",7.89573868424684,2.6
"89",7.92804927998721,2.61
"90",7.9596592745375,2.62
"91",7.9905831015117,2.63
"92",8.02083493061455,2.64
"93",8.05042867096642,2.65
"94",8.07937797445895,2.66
"95",8.10769623913693,2.67
"96",8.13539661260182,2.68
"97",8.16249199543302,2.69
"98",8.18899504462277,2.7
"99",8.21491817702092,2.71
"100",8.24027357278625,2.72
"101",8.26507317884067,2.73
"102",8.28932871232335,2.74
"103",8.3130516640418,2.75
"104",8.33625330191686,2.76
"105",8.35894467441923,2.77
"106",8.38113661399474,2.78
"107",8.40283974047636,2.79
"108",8.42406446448031,2.8
"109",8.44482099078465,2.81
"110",8.46511932168803,2.82
"111",8.48496926034712,2.83
"112",8.50438041409074,2.84
"113",8.52336219770939,2.85
"114",8.5419238367185,2.86
"115",8.56007437059426,2.87
"116",8.57782265598054,2.88
"117",8.59517736986608,2.89
"118",8.61214701273054,2.9
"119",8.62873991165872,2.91
"120",8.6449642234219,2.92
"121",8.66082793752569,2.93
"122",8.67633887922337,2.94
"123",8.69150471249443,2.95
"124",8.70633294298743,2.96
"125",8.72083092092687,2.97
"126",8.73500584398348,2.98
"127",8.74886476010766,2.99
"128",8.76241457032567,3
"129",8.77566203149827,3.01
"130",8.78861375904165,3.02
"131",8.80127622961041,3.03
"132",8.81365578374253,3.04
"133",8.82575862846612,3.05
"134",8.83759083986799,3.06
"135",8.84915836562405,3.07
"136",8.86046702749144,3.08
"137",8.87152252376254,3.09
"138",8.882330431681,3.1
"139",8.8928962098197,3.11
"140",8.90322520042107,3.12
"141",8.91332263169965,3.13
"142",8.92319362010732,3.14
"143",8.93284317256128,3.15
"144",8.94227618863508,3.16
"145",8.95149746271291,3.17
"146",8.96051168610751,3.18
"147",8.96932344914187,3.19
"148",8.97793724319515,3.2
"149",8.98635746271307,3.21
"150",8.99458840718312,3.22
"151",9.002634283075,3.23
"152",9.01049920574646,3.24
"153",9.01818720131524,3.25
"154",9.02570220849712,3.26
"155",9.0330480804107,3.27
"156",9.04022858634931,3.28
"157",9.04724741352024,3.29
"158",9.05410816875197,3.3
"159",9.0608143801696,3.31
"160",9.06736949883903,3.32
"161",9.07377690038016,3.33
"162",9.08003988654976,3.34
"163",9.08616168679415,3.35
"164",9.09214545977238,3.36
"165",9.09799429485015,3.37
"166",9.103711213565,3.38
"167",9.10929917106316,3.39
"168",9.11476105750848,3.4
"169",9.12009969946391,3.41
"170",9.12531786124591,3.42
"171",9.13041824625221,3.43
"172",9.13540349826344,3.44
"173",9.14027620271895,3.45
"174",9.14503888796718,3.46
"175",9.14969402649128,3.47
"176",9.15424403611005,3.48
"177",9.15869128115479,3.49
"178",9.16303807362258,3.5
"179",9.16728667430604,3.51
"180",9.17143929390043,3.52
"181",9.17549809408808,3.53
"182",9.17946518860084,3.54
"183",9.18334264426074,3.55
"184",9.18713248199942,3.56
"185",9.19083667785655,3.57
"186",9.19445716395771,3.58
"187",9.19799582947216,3.59
"188",9.20145452155069,3.6
"189",9.20483504624412,3.61
"190",9.20813916940267,3.62
"191",9.21136861755661,3.63
"192",9.2145250787786,3.64
"193",9.21761020352786,3.65
"194",9.22062560547686,3.66
"195",9.22357286232048,3.67
"196",9.22645351656826,3.68
"197",9.22926907631998,3.69
"198",9.23202101602479,3.7
"199",9.23471077722441,3.71
"200",9.23733976928054,3.72
"201",9.23990937008685,3.73
"202",9.24242092676589,3.74
"203",9.2448757563512,3.75
"204",9.24727514645482,3.76
"205",9.24962035592068,3.77
"206",9.25191261546399,3.78
"207",9.25415312829695,3.79
"208",9.25634307074113,3.8
"209",9.25848359282671,3.81
"210",9.26057581887883,3.82
"211",9.26262084809146,3.83
"212",9.26461975508884,3.84
"213",9.26657359047489,3.85
"214",9.2684833813708,3.86
"215",9.27035013194101,3.87
"216",9.27217482390792,3.88
"217",9.27395841705537,3.89
"218",9.27570184972142,3.9
